"Textfield """"","Product sales"


"Textfield """"","Mab´s
Nº  de contribuinte: 34143941000104"


"Textfield """"","Av. Prado Junior, 16 Loja A
22011040  - Rio de Janeiro"


"Textfield """"","[ 2018-12-15 ]"


"Table ""openCashBox""","","","Vendas por Artigo","","","","","","",""
"","","","","","","","","",""
"","","Descrição","Quantidade","Desconto s/IVA","Desconto c/IVA","Total","Total c/IVA","Gross Total",""
"","","Spaghetti Bolonhesa Executivo","1.00","R$ 0.00","R$ 0.00","R$ 19.78","R$ 23.00","R$ 23.00",""
"","","Picanha Executivo","1.00","R$ 0.00","R$ 0.00","R$ 24.08","R$ 28.00","R$ 28.00",""
"","","Contra Acebolado Executivo","18.00","R$ 92.57","R$ 107.64","R$ 309.91","R$ 360.36","R$ 468.00",""
"","","Contra Acebolado Executivo","1.00","R$ 0.00","R$ 0.00","R$ 22.36","R$ 26.00","R$ 26.00",""
"","","Spaghetti Bolonhesa Executivo","1.00","R$ 0.00","R$ 0.00","R$ 19.78","R$ 23.00","R$ 23.00",""
"","","Strog. Mignon Executivo","1.00","R$ 0.00","R$ 0.00","R$ 24.08","R$ 28.00","R$ 28.00",""
"","","Extras","5.00","R$ 0.00","R$ 0.00","R$ 2.00","R$ 2.00","R$ 2.00",""
"","","-AMERICANO","2.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","-AMERICANO","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Embalagem","2.00","R$ 0.00","R$ 0.00","R$ 2.00","R$ 2.00","R$ 2.00",""
"","","Frango","35.00","R$ 454.91","R$ 528.96","R$ 657.91","R$ 765.04","R$ 1,294.00",""
"","","Frango c/Purê","3.00","R$ 0.00","R$ 0.00","R$ 82.56","R$ 96.00","R$ 96.00",""
"","","Frango c/Purê","1.00","R$ 0.00","R$ 0.00","R$ 27.52","R$ 32.00","R$ 32.00",""
"","","Frango Parmegiana","28.00","R$ 439.22","R$ 510.72","R$ 475.80","R$ 553.28","R$ 1,064.00",""
"","","Frango Parmegiana","1.00","R$ 15.69","R$ 18.24","R$ 16.99","R$ 19.76","R$ 38.00",""
"","","Frango c/Arroz&Fritas","2.00","R$ 0.00","R$ 0.00","R$ 55.04","R$ 64.00","R$ 64.00",""
"","","Happy Hour","4.00","R$ 0.00","R$ 0.00","R$ 18.00","R$ 18.00","R$ 18.00",""
"","","Chopp 300 HH","4.00","R$ 0.00","R$ 0.00","R$ 18.00","R$ 18.00","R$ 18.00",""
"","","Info-Bar","31.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Laranja","2.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Abacaxi","2.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Melancia","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Maracujá","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Morango","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Abacaxi","2.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Maracujá","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Laranja","2.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Melancia","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Limão","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Abacaxi","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Laranja","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Laranja","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Limão","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Limão","2.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Laranja","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Abacaxi","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Limão","4.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Melancia","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Laranja","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Morango","2.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","#Laranja","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Info-Cozinha","39.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Ao Ponto","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Para Bem","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Para Bem","2.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Mal Passado","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Ao Ponto","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Ao Ponto","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Ao Ponto","2.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Ao Ponto","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Mal Passado","8.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Ao Ponto","18.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Ao Ponto","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Ao Ponto","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Ao Ponto","1.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Massas","10.00","R$ 93.40","R$ 108.60","R$ 195.56","R$ 227.40","R$ 336.00",""
"","","Espag.M.R.Camarão","1.00","R$ 10.84","R$ 12.60","R$ 25.28","R$ 29.40","R$ 42.00",""
"","","Espag. Bolonhesa","1.00","R$ 0.00","R$ 0.00","R$ 24.08","R$ 28.00","R$ 28.00",""
"","","Espag.Frango","4.00","R$ 55.04","R$ 64.00","R$ 55.04","R$ 64.00","R$ 128.00",""
"","","Espag.Frango","2.00","R$ 27.52","R$ 32.00","R$ 27.52","R$ 32.00","R$ 64.00",""
"","","Espag.M.R.Camarão","1.00","R$ 0.00","R$ 0.00","R$ 36.12","R$ 42.00","R$ 42.00",""
"","","Espag.Frango","1.00","R$ 0.00","R$ 0.00","R$ 27.52","R$ 32.00","R$ 32.00",""
"","","Peixes","5.00","R$ 0.00","R$ 0.00","R$ 208.12","R$ 242.00","R$ 242.00",""
"","","Salmão Molho Mostarda","2.00","R$ 0.00","R$ 0.00","R$ 84.28","R$ 98.00","R$ 98.00",""
"","","Salmão Molho Mostarda","2.00","R$ 0.00","R$ 0.00","R$ 84.28","R$ 98.00","R$ 98.00",""
"","","Peixe Recheado","1.00","R$ 0.00","R$ 0.00","R$ 39.56","R$ 46.00","R$ 46.00",""
"","","Petiscos","13.00","R$ 16.76","R$ 19.50","R$ 264.41","R$ 307.46","R$ 326.96",""
"","","Mini salgados","1.00","R$ 3.87","R$ 4.50","R$ 9.02","R$ 10.49","R$ 14.99",""
"","","Contrafile c fritas","1.00","R$ 0.00","R$ 0.00","R$ 21.49","R$ 24.99","R$ 24.99",""
"","","Pão Alho.","1.00","R$ 12.90","R$ 15.00","R$ 0.00","R$ 0.00","R$ 15.00",""
"","","Batata Mab`s","1.00","R$ 0.00","R$ 0.00","R$ 23.22","R$ 27.00","R$ 27.00",""
"","","Gurjão Peixe.","2.00","R$ 0.00","R$ 0.00","R$ 84.28","R$ 98.00","R$ 98.00",""
"","","Casquinha Siri.","2.00","R$ 0.00","R$ 0.00","R$ 32.68","R$ 38.00","R$ 38.00",""
"","","Pão Alho.","1.00","R$ 0.00","R$ 0.00","R$ 12.90","R$ 15.00","R$ 15.00",""
"","","Contrafile c fritas","1.00","R$ 0.00","R$ 0.00","R$ 21.49","R$ 24.99","R$ 24.99",""
"","","Mini salgados","1.00","R$ 0.00","R$ 0.00","R$ 12.89","R$ 14.99","R$ 14.99",""
"","","Buffalo Wings.","1.00","R$ 0.00","R$ 0.00","R$ 31.82","R$ 37.00","R$ 37.00",""
"","","Guacamole & Chips.","1.00","R$ 0.00","R$ 0.00","R$ 14.62","R$ 17.00","R$ 17.00",""
"","","Pizzas G","2.00","R$ 0.00","R$ 0.00","R$ 92.88","R$ 108.00","R$ 108.00",""
"","","Pizz.G.Marguerita","1.00","R$ 0.00","R$ 0.00","R$ 38.70","R$ 45.00","R$ 45.00",""
"","","Pizz.G.Frango Catupiry","1.00","R$ 0.00","R$ 0.00","R$ 54.18","R$ 63.00","R$ 63.00",""
"","","Saladas","1.00","R$ 0.00","R$ 0.00","R$ 32.68","R$ 38.00","R$ 38.00",""
"","","CaesarC/Mignon","1.00","R$ 0.00","R$ 0.00","R$ 32.68","R$ 38.00","R$ 38.00",""
"","","Sanduiches","5.00","R$ 0.00","R$ 0.00","R$ 59.34","R$ 69.00","R$ 69.00",""
"","","Sand. Mignon","1.00","R$ 0.00","R$ 0.00","R$ 24.08","R$ 28.00","R$ 28.00",""
"","","Hambuguer","1.00","R$ 0.00","R$ 0.00","R$ 18.92","R$ 22.00","R$ 22.00",""
"","","+ Queijo Prato","1.00","R$ 0.00","R$ 0.00","R$ 4.30","R$ 5.00","R$ 5.00",""
"","","+ Bacon","1.00","R$ 0.00","R$ 0.00","R$ 6.88","R$ 8.00","R$ 8.00",""
"","","+ Ovo Frito","1.00","R$ 0.00","R$ 0.00","R$ 5.16","R$ 6.00","R$ 6.00",""
"","","Sobremesas","3.00","R$ 0.00","R$ 0.00","R$ 30.94","R$ 35.98","R$ 35.98",""
"","","Torta ","1.00","R$ 0.00","R$ 0.00","R$ 10.32","R$ 12.00","R$ 12.00",""
"","","Salada Frutas","2.00","R$ 0.00","R$ 0.00","R$ 20.62","R$ 23.98","R$ 23.98",""
"","","Vinhos","1.00","R$ 0.00","R$ 0.00","R$ 15.00","R$ 15.00","R$ 15.00",""
"","","Taça Vinho (Suave)","1.00","R$ 0.00","R$ 0.00","R$ 15.00","R$ 15.00","R$ 15.00",""
"","","Total","333.00","R$ 965.67","R$ 1,098.65","R$ 3,669.78","R$ 4,085.29","R$ 5,183.94",""


"Table ""openCashBox""","","","Devoluções por artigo","","","","","","",""
"","","","","","","","","",""
"","","Descrição","Quantidade","Desconto s/IVA","Desconto c/IVA","Total","Total c/IVA","Gross Total",""
"","","Total","","","","","","",""


"Table ""openCashBox""","","","Resumo por família
","","","","","","",""
"","","","","","","","","",""
"","","Descrição","Quantidade","Desconto s/IVA","Desconto c/IVA","Total","Total c/IVA","Gross Total",""
"","","Bebidas Frias","72.00","R$ 48.93","R$ 57.99","R$ 417.85","R$ 441.01","R$ 499.00",""
"","","CAFÉ DA MANHA","3.00","R$ 0.00","R$ 0.00","R$ 75.00","R$ 75.00","R$ 75.00",""
"","","Carnes","11.00","R$ 259.11","R$ 275.96","R$ 178.92","R$ 208.04","R$ 484.00",""
"","","Chopp & Cervejas","42.00","R$ 0.00","R$ 0.00","R$ 516.00","R$ 516.00","R$ 516.00",""
"","","Destilados","6.00","R$ 0.00","R$ 0.00","R$ 108.00","R$ 108.00","R$ 108.00",""
"","","Doses Diversas","6.00","R$ 0.00","R$ 0.00","R$ 108.00","R$ 108.00","R$ 108.00",""
"","","Drinks","11.00","R$ 0.00","R$ 0.00","R$ 187.48","R$ 218.00","R$ 218.00",""
"","","Especiais","5.00","R$ 0.00","R$ 0.00","R$ 81.70","R$ 95.00","R$ 95.00",""
"","","Executivo","23.00","R$ 92.57","R$ 107.64","R$ 419.99","R$ 488.36","R$ 596.00",""
"","","Extras","5.00","R$ 0.00","R$ 0.00","R$ 2.00","R$ 2.00","R$ 2.00",""
"","","Frango","35.00","R$ 454.91","R$ 528.96","R$ 657.91","R$ 765.04","R$ 1,294.00",""
"","","Happy Hour","4.00","R$ 0.00","R$ 0.00","R$ 18.00","R$ 18.00","R$ 18.00",""
"","","Info-Bar","31.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Info-Cozinha","39.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00","R$ 0.00",""
"","","Massas","10.00","R$ 93.40","R$ 108.60","R$ 195.56","R$ 227.40","R$ 336.00",""
"","","Peixes","5.00","R$ 0.00","R$ 0.00","R$ 208.12","R$ 242.00","R$ 242.00",""
"","","Petiscos","13.00","R$ 16.76","R$ 19.50","R$ 264.41","R$ 307.46","R$ 326.96",""
"","","Pizzas G","2.00","R$ 0.00","R$ 0.00","R$ 92.88","R$ 108.00","R$ 108.00",""
"","","Saladas","1.00","R$ 0.00","R$ 0.00","R$ 32.68","R$ 38.00","R$ 38.00",""
"","","Sanduiches","5.00","R$ 0.00","R$ 0.00","R$ 59.34","R$ 69.00","R$ 69.00",""
"","","Sobremesas","3.00","R$ 0.00","R$ 0.00","R$ 30.94","R$ 35.98","R$ 35.98",""
"","","Vinhos","1.00","R$ 0.00","R$ 0.00","R$ 15.00","R$ 15.00","R$ 15.00",""
"","","Total","333.00","R$ 965.67","R$ 1,098.65","R$ 3,669.78","R$ 4,085.29","R$ 5,183.94",""


"Textfield ""New Text""","total[€]"


"Textfield """"","Apuramento impresso em 2018-12-15 às 21:02:06"


